,country_code,country,type_of_document,date,backend_status,current,version_number,url,comment,annex_type,income_group,region,eu27,ghg_total,ghg_transport,mena,document_path
90,COD,Democratic Republic of the Congo,Updated NDC,2021-12-28 00:00:00,uploaded,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revis%C3%A9e%20de%20la%20RDC.pdf,,Non-Annex I,Low-income,Africa,0,2.98404416,2.226808,0,../data/downloaded_documents/fae0263866c1bf7e9d78428dbfe7f4b641b7774ab87d26eb352dda6a871e52a7.pdf
91,DNK,Denmark,LTS,2020-12-30 00:00:00,,x,LTS 1.0,https://unfccc.int/sites/default/files/resource/ClimateProgramme2020-Denmarks-LTS-under-the%20ParisAgreement_December2020_.pdf,,Annex I,High-income,Europe,EU27,31.11854911,12.26869129,0,../data/downloaded_documents/9f895f16312a49726adbff46104470f59d20fd2f6c9c05f4241ae819ff12cee0.pdf
92,DJI,Djibouti,1st NDC,2016-11-11 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-Djibouti_ENG.pdf,,Non-Annex I,Middle-income,Africa,0,1.049124003,0.488825079,MENA,../data/downloaded_documents/f1503ac769e0a079a370addfcf5fb7d6c0edc13bd727a7701f315d0748d0990f.pdf
93,DMA,Dominica,1st NDC,2016-09-21 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Commonwealth%20of%20Dominica-%20Intended%20Nationally%20Determined%20Contributions%20%28INDC%29.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,0.1032782336,0.0332380543,0,../data/downloaded_documents/214f6560343be13bff639f8defe0e3aa0abc422f1ab99d29ff0b00751a2bbdfb.pdf
94,DOM,Dominican Republic,1st NDC,2017-09-21 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-RD%20Agosto%202015%20%28espa%C3%B1ol%29.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,27.27602213,5.578271621,0,../data/downloaded_documents/b5a19126fe2ccc0e67997864cad5cc19836575ca4c0d9593f2151dbdcb282de5.pdf
95,DOM,Dominican Republic,Updated NDC,2020-12-29 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/Dominican%20Republic%20First%20NDC%20(Updated%20Submission).pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,27.27602213,5.578271621,0,../data/downloaded_documents/3463850eb35e615577510745e1257b87e4c4c75dc9016ea8635afc9b205d7eb1.pdf
96,ECU,Ecuador,1st NDC,2019-03-29 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Primera%20NDC%20Ecuador.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,40.69980438,16.27321415,0,../data/downloaded_documents/7ece11e8c011d98bca41996868fdb91a1ec32b5d007ef769675bacdc3a2547d0.pdf
97,ECU,Ecuador,Updated NDC,2019-03-29 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/Primera%20NDC%20Ecuador.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,40.69980438,16.27321415,0,../data/downloaded_documents/7ece11e8c011d98bca41996868fdb91a1ec32b5d007ef769675bacdc3a2547d0.pdf
98,EGY,Egypt,1st NDC,2017-06-29 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Egyptian%20INDC.pdf,,Non-Annex I,Middle-income,Africa,0,255.3685679,48.1001737,MENA,../data/downloaded_documents/725efe3512f37718c301cc77a009ee9997afe1ecfdb72168a3d50cc1ef141a40.pdf
99,EGY,Egypt,Updated NDC,2022-07-07 00:00:00,uploaded,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-07/Egypt%20Updated%20NDC.pdf.pdf,,Non-Annex I,Middle-income,Africa,0,255.3685679,48.1001737,MENA,../data/downloaded_documents/a70ee0b3f31384835f65703f1197dfc285a83ed81ef06b96bf528bf5986009df.pdf
100,SLV,El Salvador,1st NDC,2017-03-27 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,7.146297616,3.123832739,0,../data/downloaded_documents/18064bccb5f05482c1afa80ff469635df5f8ae8c1de23a1964725b50204e48c1.pdf
101,SLV,El Salvador,Updated NDC,2022-01-04 00:00:00,uploaded,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/El%20Salvador%20NDC-%20Updated%20Dic.2021.pdf,,Non-Annex I,Middle-income,Latin America and the Caribbean,0,7.146297616,3.123832739,0,../data/downloaded_documents/ec122d83dc7d8425f342bb691b5f8b71996e0fe81ff637429e1655540b2a1271.pdf
102,GNQ,Equatorial Guinea,1st NDC,2018-10-30 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Rep%C3%BAblica%20de%20Guinea%20Ecuatorial_INDC.pdf,,Non-Annex I,Middle-income,Africa,0,3.474559399,0.400883168,0,../data/downloaded_documents/d9ea77d4fa901047526c4cb412b8a51a4aaeac41d6cdca0a7377362b67a23321.pdf
103,GNQ,Equatorial Guinea,Updated NDC,2022-10-24 00:00:00,missing,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-10/CND-GuineaEcuatorial-Version2022-Actualizada.pdf,,Non-Annex I,Middle-income,Africa,0,3.474559399,0.400883168,0,../data/downloaded_documents/0ef354ab1b1cff8e630d9b668b841320b73c4125349163cc65b52ec3af8c5fdd.pdf
104,ERI,Eritrea,1st NDC,2018-06-19 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/NRC%20Eritrea.pdf,,Non-Annex I,Low-income,Africa,0,0.7468134987,0.203222162,0,../data/downloaded_documents/8116bf0739c30ce6236e2c56b3b66dd992bfa977d9df20ff4e346336dae48eff.pdf
105,SWZ,Eswatini,1st NDC,2016-09-21 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/Eswatini%27s%20INDC.pdf,,Non-Annex I,Middle-income,Africa,0,1.14318664,0.378648664,0,../data/downloaded_documents/ab9fb1a11d34ab1f02805f385c4d935d3b5a1ae757895f0e95be4e148067a232.pdf
106,SWZ,Eswatini,Updated NDC,2021-12-10 00:00:00,uploaded,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/Eswatini's%20Revised%20NDC%2012%20Oct%202021.docx,,Non-Annex I,Middle-income,Africa,0,1.14318664,0.378648664,0,../data/downloaded_documents/d777d436e9c2d14b2a3ba3bed0210deede5a816d75f7554a6e0e50cb61d0fae4.docx
107,ETH,Ethiopia,1st NDC,2017-03-09 00:00:00,,,NDC 1.0,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-Ethiopia-100615.pdf,,Non-Annex I,Low-income,Africa,0,18.25248367,6.7321941,0,../data/downloaded_documents/28a11898627ce15335166dfc07f0d5114b4dfda39e5a5190801fc14a06900943.pdf
108,ETH,Ethiopia,Updated NDC,2021-07-23 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/Ethiopia's%20updated%20NDC%20JULY%202021%20Submission_.pdf,,Non-Annex I,Low-income,Africa,0,18.25248367,6.7321941,0,../data/downloaded_documents/ebf2c98c3004eee6e20a5b28832420f083e32a762bbf3c06b8cd7bd8b41a7a67.pdf
109,EEU,European Union,Updated NDC,2020-12-18 00:00:00,,x,NDC 1.1,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,,Annex I,,Europe,0,2939.068446,780.1653975,0,../data/downloaded_documents/274e9ec17af9fa6636e383477d48939bdc883b49e89d0a9689413808f9f637c6.pdf
110,EEU,European Union,LTS,2018-11-28 00:00:00,,x,LTS 1.0,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52018DC0773&from=EN,,Annex I,,Europe,0,2939.068446,780.1653975,0,../data/downloaded_documents/258b5e20429d69cb61d71c1651dbc76835ad7de4d08a6a8185748b1d01952da9.pdf
